"variable","F1","F2","F3","F4","F5"
"mean_gc_fastboende_count_k10",-0.0741714533409765,0.00171390162153056,-0.0679150049601727,0.556618544244185,0.150483128483746
"std_gc_fastboende_count_k10",0.00929695969094458,0.066350663257191,-0.0557635115841257,0.309699372575414,0.227564938235017
"mean_gc_roads_medium_length_m_k10",-0.16222232968946,-0.0426852786058989,-0.134900566710695,0.207876057765748,0.130549383722809
"std_gc_roads_medium_length_m_k10",0.0433989531200357,0.000295255448066374,-0.0473384734130732,0.0708939629324013,0.266496303030039
"mean_gc_roads_large_length_m_k10",-0.0736223877473922,0.0879337807534584,-0.143991956281602,0.260782462975671,0.213727107757284
"std_gc_roads_large_length_m_k10",0.133736952088714,0.080631086860825,-0.0607956724877688,0.114017778960575,0.309029115477326
"mean_gc_ecology_connectivity_share_k10",0.0476551860185399,0.196184295414012,0.654129283625371,-0.166199177992746,-0.110040253465724
"std_gc_ecology_connectivity_share_k10",0.475689374163909,0.15086049332813,0.0113223250579045,-0.0263489735811151,0.135731245208613
"mean_gc_cultural_historical_conservation_share_k10",-0.0417317829779018,0.0027630963591097,-0.0810425048189514,0.00265293638125498,0.024670801662351
"std_gc_cultural_historical_conservation_share_k10",0.014796480851409,-0.00697985268590164,-0.0542416396241167,0.000775248175840067,0.0602148710273629
"mean_gc_fredskov_share_k10",-0.110924073163444,0.0250821904670477,0.712238824982534,-0.0599270365464565,-0.136700071476145
"std_gc_fredskov_share_k10",0.214030136682065,0.130195137252056,0.187875697910403,0.00489683761350466,-0.00527074665997646
"mean_gc_agricultural_land_share_k10",-0.355467397807158,-0.16077575459327,-0.552576302175125,-0.381241478254348,0.0483645639024558
"std_gc_agricultural_land_share_k10",0.212374159512029,0.13610855453443,0.00296635142734142,-0.0447405685524451,0.217539885728245
"mean_gc_relief_m_k10",-0.0826363311712611,0.807057470372235,0.0645799324528608,-0.0975166916147378,-0.15217311159428
"std_gc_relief_m_k10",0.259307677949981,0.483976879124075,0.160626686371337,0.0174233265841744,0.0651385337782722
"mean_gc_protected_watercourses_length_m_k10",0.0424192230511321,0.055920338255322,-0.0348216369481165,-0.106601278830029,-0.0124020424866399
"std_gc_protected_watercourses_length_m_k10",0.174780888242364,0.0578285509007164,-0.0180455042879734,-0.0598712026894602,0.0714605795179453
"mean_gc_lake_share_k10",-0.0313737042354128,0.0394578813284457,0.160151353533889,0.0309535309555234,0.0189696607323576
"std_gc_lake_share_k10",0.0521578884422473,0.0515810193901835,0.137803651835901,0.0529095686974584,0.0693646325603745
"mean_gc_wetland_share_k10",-0.10085581066241,-0.0332590028843006,0.271038629575625,-0.035714344624104,0.246536566099224
"std_gc_wetland_share_k10",-0.0343944915227221,-0.0346769719847382,0.184441953013257,-0.0109091581948562,0.191809730398196
"mean_gc_moor_hede_share_k10",0.350653050859052,0.258104430937253,0.208755188618587,-0.0535238781898276,0.0633453542261901
"std_gc_moor_hede_share_k10",0.458163209433599,0.119296761699113,0.159074485027122,-0.0686783415321093,0.043768028554706
"mean_gc_forest_share_k10",-0.00815285107029122,0.0395923908372948,0.726120247091086,-0.106208480601997,-0.126664544617736
"std_gc_forest_share_k10",0.394826312669688,0.0976476823935096,0.199797159289001,-0.0471053696024814,0.102342475197264
"mean_gc_coastal_zone_share_k10",0.321026494306273,0.373104122753138,-0.275102555058971,0.0958223547022314,0.208920803152552
"std_gc_coastal_zone_share_k10",0.423465953058849,0.241244761256226,0.0264621842425671,0.117474776524454,0.0972004383736955
"mean_gc_coastline_length_m_k10",0.298332225345942,0.405923316301613,0.0148652541449197,0.110397993570815,0.154570533390344
"std_gc_coastline_length_m_k10",0.407503323447866,0.326846554162443,0.0428408378010742,0.0791346918802779,0.117174865823309
"mean_gc_valuable_cultural_environment_share_k10",0.125857923444123,0.165899993649748,0.0885050576745205,0.159627754662162,0.179809202846916
"std_gc_valuable_cultural_environment_share_k10",0.230918157654702,0.163406651261009,0.0408813571097006,0.140356554094059,0.171668263308042
"mean_gc_highest_point_m_k10",-0.722804317662265,-0.0468258241082699,0.277055652560986,-0.359203298756758,-0.383331108645605
"std_gc_highest_point_m_k10",0.22419764039023,0.37182908667475,0.123516054789762,0.0066003173804985,0.12362538580154
"mean_gc_river_length_m_k10",-0.194871379594535,-0.149074530046074,0.477612558301798,-0.125603452049927,0.00706472107127343
"std_gc_river_length_m_k10",0.0227537588177232,-0.0748996907452055,0.32233851692983,-0.0614689995845187,0.11058823061412
"mean_gc_sand_dune_share_k10",0.522483739591911,-0.042513312497484,0.115280449720015,-0.0871429444045864,0.0333078734146792
"std_gc_sand_dune_share_k10",0.542502320383702,-0.0428263360829911,0.113582926395009,-0.0781445788666311,0.0269574773545688
"mean_gc_bes_naturtyper_share_k10",0.128322878350994,0.279177573149946,0.347304640123151,-0.0284834509720768,0.162062032439239
"std_gc_bes_naturtyper_share_k10",0.29037831141746,0.170399993624043,0.244080205482093,-0.00142640638498232,0.1260798596761
"mean_gc_mapped_nature_types_share_k10",0.189707800894517,0.308170797796222,0.36278177402205,-0.0933473047287648,0.102627579647932
"std_gc_mapped_nature_types_share_k10",0.285503688077214,0.166074642126584,0.285648944095162,-0.105636745197959,0.0707216269142227
"mean_gc_industry_business_share_k10",-0.032594097842165,-0.023042570970579,-0.0144984105064045,0.425205359412367,0.0718153538145709
"std_gc_industry_business_share_k10",-0.00892244499398762,-0.0232057532190613,-0.000127021831181275,0.403653993060719,0.025272477537249
"mean_gc_built_centre_share_k10",-0.0621326325902039,-0.0286019493282309,-0.00515230010176784,0.326990722790742,0.0785822267149725
"std_gc_built_centre_share_k10",-0.0496513463654078,-0.0123706586014102,0.0035096432673823,0.205475908759277,0.122818704343899
"mean_gc_buildings_high_share_k10",0.00213935510281969,-0.0275306070798961,-0.00331265926720049,0.178463565660784,-0.0274538216195349
"std_gc_buildings_high_share_k10",0.00116818028208494,-0.0172945407005127,-0.00216417229620793,0.118372725304714,-0.0117037883188304
"mean_gc_buildings_low_share_k10",-0.0544315078262651,0.100533841410369,-0.152129291973696,0.417884539737087,0.235212393921832
"std_gc_buildings_low_share_k10",0.176256522483968,0.128232499828801,-0.0879677541237383,0.179097042032983,0.332160604703712
"mean_gc_strand_protection_share_k10",0.465132214400778,0.421651441063405,0.0677579014177116,0.00305460997091155,0.0694465014639868
"std_gc_strand_protection_share_k10",0.537702847013866,0.292804578446774,0.0803584125697727,0.0126626577220012,0.0636827128019099
"mean_gc_jordart_ml_moraeneler_share_k10",-0.347316038649906,-0.0633910922683559,-0.638874232410726,-0.224318841710467,-0.0559375204605986
"std_gc_jordart_ml_moraeneler_share_k10",0.165867595350026,0.109803586914188,-0.0952172236101161,-0.0615518227387809,0.186727817168768
"mean_gc_jordart_ms_moraensand_share_k10",-0.214973953153294,-0.0766062716451726,0.661287966307461,-0.0729514673636488,-0.0980945918190669
"std_gc_jordart_ms_moraensand_share_k10",-0.0379043015419713,0.00920480441525326,0.272694139674062,-0.039034729788314,0.0354614347234441
"mean_gc_jordart_fp_ferskvandsgytje_share_k10",-0.22480446222809,-0.136469122768429,0.195453836989628,-0.117100991417771,0.0980094365400845
"std_gc_jordart_fp_ferskvandsgytje_share_k10",-0.0189156497263209,-0.0885680058590384,0.138312545792068,-0.0633777806106524,0.231932885772381
"mean_gc_jordart_es_flyvesand_share_k10",0.652062998014753,-0.0742446968655601,0.111401723145661,0.00613911676253183,0.0208122049348348
"std_gc_jordart_es_flyvesand_share_k10",0.608898974689987,-0.0576012931687584,0.089866958942126,-0.0123914886843689,0.0095557068951188
"mean_gc_jordart_ds_smeltevandssand_share_k10",0.107621062813191,-0.0669830804024246,-0.0516155910598004,-0.00508594190693278,-0.0164680696937307
"std_gc_jordart_ds_smeltevandssand_share_k10",0.150872077583832,-0.0564370951830483,-0.0144503570946955,-0.0370347469119629,0.0321606962283148
"mean_gc_jordart_pkv_prekvartart_lag_share_k10",-0.00462003980161512,0.59559633537588,0.178240915341914,0.00913582527558065,0.0151228620036481
"std_gc_jordart_pkv_prekvartart_lag_share_k10",0.0648893127767904,0.442407434308152,0.144463271358474,0.0499652490349549,0.0549469555036279
"mean_gc_jordart_marina_sand_och_grus_ovrigt_share_k10",0.0248790138558817,0.113974643360318,-0.032914931593883,0.164224450337092,0.539458548257286
"std_gc_jordart_marina_sand_och_grus_ovrigt_share_k10",0.0696908280636424,0.155687813570036,-0.0240836455691779,0.12800528483426,0.440612591970371
"mean_gc_jordart_farskvatten_organiskt_ovrigt_share_k10",-0.01260093649309,-0.0294085106569847,0.115988038123673,-0.026681805199618,0.221037612254494
"std_gc_jordart_farskvatten_organiskt_ovrigt_share_k10",0.0252545047053321,-0.0219692738059498,0.0532587228331258,0.00191010763132443,0.215997451226845
"mean_gc_jordart_smaltvatten_ovrigt_share_k10",0.0685668826621322,-0.0263671161777596,0.0146513930288523,0.150089292180562,-0.125487519281978
"std_gc_jordart_smaltvatten_ovrigt_share_k10",0.128990761493389,0.000996778470592022,0.0452606521119996,0.0608751191595634,-0.0933536817114204
"mean_gc_jordart_ovrigt_anlagt_okant_share_k10",-0.0336259766143898,0.108983867463404,-0.000684715222445296,0.327715165339222,0.0499696472362558
"std_gc_jordart_ovrigt_anlagt_okant_share_k10",-0.000679932709015524,0.160486557813667,0.0193667289142905,0.241156665544656,0.043030005879295
"mean_gc_prekvart_gnejs_share_k10",-0.524471412440632,-0.0440358420291491,0.0815716385761821,-0.268282725510381,-0.339273772386386
"std_gc_prekvart_gnejs_share_k10",0.0057923559160756,0.256078267843314,0.0155653156966476,-0.0169825796694163,0.0214256071475365
"mean_gc_prekvart_hammer_och_almindinge_share_k10",-0.119347451493131,0.243576969049639,0.316865700723369,-0.00694910854243271,-0.0723701311645381
"std_gc_prekvart_hammer_och_almindinge_share_k10",0.0201536467828204,0.260859839428728,0.147029657852957,-0.00194711902272266,0.0479493438415471
"mean_gc_prekvart_gronne_skifre_share_k10",0.186539477068361,-0.214778620550969,-0.169574873785006,-0.124198070538336,0.368757843991779
"std_gc_prekvart_gronne_skifre_share_k10",0.204203429857163,-0.123280494194195,-0.0666182335353074,-0.100460082724177,0.20977104378358
"mean_gc_prekvart_vang_och_svaneke_gran_share_k10",-0.090825110711373,0.317078375555684,-0.128133015589628,0.00222480358643385,0.0911144117090048
"std_gc_prekvart_vang_och_svaneke_gran_share_k10",-0.00913201574266236,0.248829482242238,-0.00883012652575605,0.0446790025474587,0.112065739062198
"mean_gc_prekvart_balka_sandsten_share_k10",-0.027679293318594,-0.154841499282589,-0.115545368247795,-0.00490729668509971,0.389472646168759
"std_gc_prekvart_balka_sandsten_share_k10",0.0277912387176203,-0.103805071486593,-0.065843342058522,-0.00491484520769125,0.324836274818338
"mean_gc_prekvart_sandsten_gronsand_ovrigt_share_k10",0.0229248947274034,-0.137273687688729,-0.100314362580755,0.0777395479572401,0.200675688259053
"std_gc_prekvart_sandsten_gronsand_ovrigt_share_k10",0.0658483415530194,-0.0515621362823963,-0.0194218878167292,0.064475872893864,0.165833903154443
"mean_gc_prekvart_sedimentara_formationer_ovrigt_share_k10",0.245777999627151,-0.0694577479435924,-0.034905498268528,0.111793015150197,-0.101083034984132
"std_gc_prekvart_sedimentara_formationer_ovrigt_share_k10",0.345849169872753,-0.0489198758638576,0.0109012954877433,-0.0276822200165708,-0.078322491916938
"mean_gc_prekvart_skifrar_ovrigt_share_k10",0.446835271573284,-0.10564555517901,-0.00241961835205447,-0.155335057709936,0.0416978125389443
"std_gc_prekvart_skifrar_ovrigt_share_k10",0.459349266438449,-0.0963669150223205,0.0346363728389415,-0.145087024487808,0.0265824713730799
"mean_gc_prekvart_kristallint_ovrigt_share_k10",-0.0197485442315357,0.0277002167494734,0.0131838279501471,0.0154079149080776,-0.0647527101283122
"std_gc_prekvart_kristallint_ovrigt_share_k10",0.00202798543285996,0.0389951757762552,0.103473665238912,-0.00229803980430718,-0.0367216639418139
"mean_gc_prekvart_kalkbergarter_ovrigt_share_k10",0.135771503321031,-0.0691338009809801,-0.0420218165734612,0.00793676544275889,-0.0121628990504039
"std_gc_prekvart_kalkbergarter_ovrigt_share_k10",0.159407183568018,-0.0762954214579826,-0.0504433485893386,-0.0272085680939787,0.00463867209476274
"mean_gc_prekvart_ovrigt_stratigrafiskt_share_k10",0.249955141288827,0.00307254978420346,-0.0404831553724235,0.413688685724369,-0.0809115530142433
"std_gc_prekvart_ovrigt_stratigrafiskt_share_k10",0.328710011491944,-0.0178891333825383,-0.00688015054803225,0.2131188085884,-0.0879868568199756
"mean_gc_protected_areas_share_k10",0.423481553837878,0.120666902631412,0.116659627884024,-0.0912573977016178,0.119088800522871
"std_gc_protected_areas_share_k10",0.457699649579698,0.12020794004614,0.0826678683834497,-0.0527119429387122,0.113253601198927
"mean_gc_natura_designated_land_share_k10",0.0963911075720862,0.26468031159526,0.423172332976931,-0.0805218060831854,0.186009605803681
"std_gc_natura_designated_land_share_k10",0.192532644188262,0.175393294845569,0.323251086290078,-0.0883600293742195,0.0942727711483634
"mean_gc_natura_bird_protection_share_k10",-0.0634780421939184,-0.118478527765912,0.737436181326048,0.0881220735604483,-0.122012458316492
"std_gc_natura_bird_protection_share_k10",0.400121145001453,-0.0359473197017961,0.131610388978008,0.133566291645377,-0.179785268153868
"mean_gc_natura_habitat_areas_share_k10",-0.0582155592292576,0.0438184580224976,0.824848686406183,-0.0518596277205886,-0.02173800007969
"std_gc_natura_habitat_areas_share_k10",0.326724512938144,0.126417354427563,0.217909943667763,0.0339921137814071,-0.0403720972314919
"mean_gc_natur_vildt_reservat_share_k10",-0.0748001049951441,-0.0276923538637849,0.218082148476902,0.0200328220884101,0.316075587694942
"std_gc_natur_vildt_reservat_share_k10",-0.0327042034562373,-0.0136503567409264,0.100759509104354,0.0744978220707435,0.258409940633606
"mean_gc_aviation_approach_share_k10",0.165011307529218,-0.160226921575215,-0.10401791902747,0.416889565350325,-0.123892376772816
"std_gc_aviation_approach_share_k10",0.0820161982149484,-0.0516448928237569,-0.0225755703848058,0.192248570946354,-0.0704394731288087
"mean_gc_aviation_bird_collision_share_k10",0.158844613620781,-0.292607395503604,-0.0558760326183682,0.28374281191286,-0.224930798357565
"std_gc_aviation_bird_collision_share_k10",0.133166346466774,-0.0467071766504935,0.00886005144954772,-0.00572716119135618,-0.00918572234262228
"mean_gc_military_areas_share_k10",0.236108641442844,-0.0390769496739745,0.00211976765957137,-0.0223160034765218,-0.0702335306803818
"std_gc_military_areas_share_k10",0.224638432134981,-0.0404559359546981,-0.00442179004825328,-0.0181417263843466,-0.0569317357076026
"mean_gc_ferry_routes_length_m_k10",0.00616943248548263,-0.0273111431740262,0.00896320299430973,0.307248920338568,-0.0873219213355573
"std_gc_ferry_routes_length_m_k10",0.00679037523175586,-0.0448210867140009,0.0121658619474266,0.327332104760069,-0.0988339101561871
"mean_gc_built_low_selection_share_k10",-0.0312826942742883,0.126984468206749,-0.0888034082863779,0.473165857140029,0.231348580457531
"std_gc_built_low_selection_share_k10",0.054121992563827,0.171275077940245,-0.0550456073869051,0.257540765607595,0.268885279074665
"mean_gc_relief_flat_band_k10",0.0008650290488854,-0.458876377518372,-0.0351713984568935,-0.0356097799681165,0.258091155690795
"std_gc_relief_flat_band_k10",0.302211405531298,-0.169536596491321,0.108366173254311,0.00957119282400221,0.227141691678944
"mean_gc_relief_rolling_band_k10",-0.0826374825329314,-0.0156670957491027,-0.0112946980877461,-0.0496319231291614,-0.233971187850308
"std_gc_relief_rolling_band_k10",0.268544410782053,0.0279429240703958,0.137530614517455,0.0392718253768638,-0.00255778331710243
"mean_gc_relief_strong_band_k10",-0.0813847856161551,0.677992876561872,0.0214185122522461,-0.0542694146233274,-0.114227888734627
"std_gc_relief_strong_band_k10",0.084102175860864,0.279729100886694,0.070505552296193,0.0216461645329995,-0.0215461795243327
"mean_gc_highest_point_low_band_k10",0.606422002750592,0.0234083548028038,-0.205616117198906,0.218175342007787,0.457975894772234
"std_gc_highest_point_low_band_k10",0.332274350818309,0.166497520943649,0.00505977814020201,0.0939327344971711,0.0141055689043024
"mean_gc_highest_point_mid_band_k10",-0.283312056523769,0.141623071910862,-0.174181823582685,-0.144712397354424,-0.0921591963893312
"std_gc_highest_point_mid_band_k10",-0.0187727439619273,0.229645217834973,0.0271776972180547,-0.0416432081310203,0.0166002364638971
"mean_gc_highest_point_high_band_k10",-0.443262122499892,-0.148527743984995,0.359308810599622,-0.193345122744577,-0.295444804118293
"std_gc_highest_point_high_band_k10",-0.0470458059566321,0.0478993355168698,0.137356704814003,-0.0333470555875203,-0.0606681902151842
"mean_gc_contour_mean_elevation_m_k10",-0.725288873235755,-0.14353586553938,0.276802271179567,-0.353897157445844,-0.369500828145339
"std_gc_contour_mean_elevation_m_k10",0.223676607152454,0.450021446316509,0.141421113577148,-0.00534350425360506,0.08819552864631
"mean_gc_contour_mean_slope_deg_k10",-0.0984113686935431,0.831537419100805,0.0475080202923262,-0.105676783741998,-0.157683128081518
"std_gc_contour_mean_slope_deg_k10",0.300016239566312,0.433251790050921,0.168586067345152,0.0529260897805879,0.0253795516295596
"mean_gc_contour_valley_depth_max_m_k10",0.0129385811810152,0.674048183760343,0.111365650237094,-0.056723983135223,-0.121380471274458
"std_gc_contour_valley_depth_max_m_k10",0.232141724146125,0.395208895066956,0.153931247973294,0.0372175943251595,-0.0207948890045053
"mean_gc_high_agri_plateau_proxy_k10",-0.559233801859419,-0.140783592524522,-0.209329691742586,-0.279351681442602,-0.328427905021021
"std_gc_high_agri_plateau_proxy_k10",-0.113046960011831,0.0471998091279103,0.158998709539875,-0.0729902480488765,-0.0293583445653419
"mean_gc_fastboende_count_k50",-0.0688030741843655,0.0084567008684572,-0.068710495651039,0.701050656308805,0.172192914814034
"std_gc_fastboende_count_k50",-0.0394092503546237,0.0407302981721922,-0.0881107572882332,0.712020616600375,0.209487206762078
"mean_gc_roads_medium_length_m_k50",-0.205379776769722,-0.0351277637557316,-0.166121588506303,0.371472307079925,0.193787958262528
"std_gc_roads_medium_length_m_k50",-0.203953899394521,-0.0406945125044704,-0.20568810687262,0.250794386882175,0.223055707938846
"mean_gc_roads_large_length_m_k50",-0.068400153206241,0.135739211537742,-0.185232700994052,0.421767823905598,0.305312200107037
"std_gc_roads_large_length_m_k50",0.0129123385443328,0.128470704629862,-0.215335074256089,0.27906157725838,0.30870743255217
"mean_gc_ecology_connectivity_share_k50",0.118178060185695,0.19729497854535,0.720066938193028,-0.172928555212258,-0.131531434178986
"std_gc_ecology_connectivity_share_k50",0.310997395384421,0.177933292584705,-0.0613079387534037,-0.116395779465893,-0.0569715753825192
"mean_gc_cultural_historical_conservation_share_k50",-0.0572554287070511,-0.00223193010369141,-0.110648524364608,0.00193361750746731,0.0299153969419036
"std_gc_cultural_historical_conservation_share_k50",-0.0528381797979003,-0.00822661594128792,-0.1266948960686,0.00307733806992795,0.0463522650239115
"mean_gc_fredskov_share_k50",-0.0790024127180607,0.0250866981286731,0.774928506543109,-0.0470411227438501,-0.156111234638157
"std_gc_fredskov_share_k50",0.157267169945694,0.174232091278552,0.384630747377308,-0.0424466454434347,-0.165306568294854
"mean_gc_agricultural_land_share_k50",-0.391455250889698,-0.141171041506458,-0.593085663197092,-0.431481387044948,0.0348321590601811
"std_gc_agricultural_land_share_k50",0.0631111237234995,0.280793502331006,0.0478163381588486,-0.164750590635364,0.11200351240342
"mean_gc_relief_m_k50",-0.0579731014583075,0.893616659844209,0.0711150568188396,-0.0832481612378234,-0.190252388882973
"std_gc_relief_m_k50",0.129184102321971,0.728568271676307,0.097435538913385,-0.00533854910223192,-0.135015203104813
"mean_gc_protected_watercourses_length_m_k50",0.104680564129002,0.0785786465107198,-0.0538392478110551,-0.149147556886684,-0.0126569791449001
"std_gc_protected_watercourses_length_m_k50",0.131670494947028,0.0908003747751624,-0.0607536932952282,-0.154790020763384,0.00542957968754609
"mean_gc_lake_share_k50",-0.0215952865952827,0.0513466267892178,0.27358075089452,0.0434508625426307,0.0143982494096357
"std_gc_lake_share_k50",0.0286451057038219,0.0509444130423477,0.252798278796275,0.0682305556230946,0.0441761333395415
"mean_gc_wetland_share_k50",-0.125719995650185,-0.0460707622556558,0.348584460440745,-0.0457318103207595,0.301836372426082
"std_gc_wetland_share_k50",-0.128742845718868,-0.0641925758369785,0.382498039734292,-0.0600560009873126,0.315842377247136
"mean_gc_moor_hede_share_k50",0.437181072173512,0.281208635966225,0.239108560139217,-0.0594013391713513,0.0509158222282923
"std_gc_moor_hede_share_k50",0.5620943857891,0.211310472524068,0.22714463758018,-0.0577119216892908,0.0352837571686215
"mean_gc_forest_share_k50",0.0747198725721046,0.0306815946989901,0.798609669949498,-0.109352292299182,-0.141163171195994
"std_gc_forest_share_k50",0.371204538727135,0.123764809453559,0.422932192012972,-0.123949118207026,-0.0732821258484099
"mean_gc_coastal_zone_share_k50",0.405804557841968,0.397288568586678,-0.275036256119663,0.134151787536377,0.202117737956184
"std_gc_coastal_zone_share_k50",0.491829795864972,0.205653608210173,-0.0315699610024108,0.188413381778685,0.0148267176518369
"mean_gc_coastline_length_m_k50",0.388503990409649,0.459051949279142,0.0145421491456196,0.171187912509404,0.142319738079701
"std_gc_coastline_length_m_k50",0.424311396773985,0.473417476389605,0.00783261943272914,0.187579281582292,0.155177215504061
"mean_gc_valuable_cultural_environment_share_k50",0.172056072185228,0.170245861387785,0.108103221691546,0.217733373357274,0.193910696322249
"std_gc_valuable_cultural_environment_share_k50",0.257768838113868,0.124162475048332,-0.0156543227200348,0.27946976995787,0.184312277288139
"mean_gc_highest_point_m_k50",-0.723650343485105,-0.0315710594995581,0.280350116099351,-0.35962084991529,-0.398068638866407
"std_gc_highest_point_m_k50",0.0534245947977,0.529778703278124,0.072293898726573,-0.0230223289346972,0.0501270938631809
"mean_gc_river_length_m_k50",-0.21637657609374,-0.178955728948005,0.579332101293473,-0.147904975161796,0.00836178385638112
